星球编号,微信昵称,身份,期数,,,,,,,,,,,,,,,,
134436,彩笺,志愿者,二期,,,,,,,,,,,,,,,,
131083,萧炎,志愿者,二期,,,,,,,,,,,,,,,,
28002,船长,志愿者,二期,,,,,,,,,,,,,,,,
164578,Johnson（舒未读）,志愿者,二期,,,,,,,,,,,,,,,,
106722,武晓亮,"助教,志愿者",二期,,,,,,,,,,,,,,,,
38281,鲈鱼在种树🌳闭关修炼期,志愿者,二期,,,,,,,,,,,,,,,,
46281,前行,"助教,志愿者",二期,,,,,,,,,,,,,,,,
59423,亿舟ovo,志愿者,二期,,,,,,,,,,,,,,,,
155296,A梦 (知牧),志愿者,二期,,,,,,,,,,,,,,,,
134657,Shrek,志愿者,二期,,,,,,,,,,,,,,,,
30135,多米杨LR,志愿者,二期,,,,,,,,,,,,,,,,
59984,章晗,志愿者,二期,,,,,,,,,,,,,,,,
20847,宁王（加油！）,志愿者,二期,,,,,,,,,,,,,,,,
171197,银河星游,志愿者,二期,,,,,,,,,,,,,,,,
61206,蘑菇ᯤ⁶ᴳ,志愿者,二期,,,,,,,,,,,,,,,,
166742,井然,志愿者,二期,,,,,,,,,,,,,,,,
159705,北,"助教,志愿者",二期,,,,,,,,,,,,,,,,
38079,智昊｜回家吃饭,志愿者,二期,,,,,,,,,,,,,,,,
126716,麦芽🌿,志愿者,二期,,,,,,,,,,,,,,,,
141426,巴黎城下的小铁匠,志愿者,二期,,,,,,,,,,,,,,,,
177879,袁气森林,"助教,志愿者",二期,,,,,,,,,,,,,,,,
174203,SuperEric,志愿者,二期,,,,,,,,,,,,,,,,
5414,大象帮主,志愿者,二期,,,,,,,,,,,,,,,,
7235,良辰美 | 1 M,助教,二期,,,,,,,,,,,,,,,,
21357,土豆君,志愿者,二期,,,,,,,,,,,,,,,,
178282,无常,"助教,志愿者",二期,,,,,,,,,,,,,,,,
49554,Sonia,志愿者,二期,,,,,,,,,,,,,,,,
140869,子艺林,志愿者,二期,,,,,,,,,,,,,,,,
12741,Adam,志愿者,二期,,,,,,,,,,,,,,,,
10754,王马扎,"助教,志愿者",二期,,,,,,,,,,,,,,,,
156543,金子。,助教,二期,,,,,,,,,,,,,,,,
27990,西约,助教,二期,,,,,,,,,,,,,,,,
164910,小明,助教,一期,,,,,,,,,,,,,,,,
7235,良辰美,助教,一期,,,,,,,,,,,,,,,,
2766,子木（二哥）,助教,一期,,,,,,,,,,,,,,,,
174605,Moore,助教,一期,,,,,,,,,,,,,,,,
122184,超人,助教,一期,,,,,,,,,,,,,,,,
38277,泽佳 Clara998 ,助教,一期,,,,,,,,,,,,,,,,
44742,DHJ,助教,一期,,,,,,,,,,,,,,,,
49554,Sonia,助教,一期,,,,,,,,,,,,,,,,
182460,Yao,助教,一期,,,,,,,,,,,,,,,,
999999,刘小排,教练,一期
