[2025-12-13T06:55:34.995Z] Total files available: 491
[2025-12-13T06:55:34.996Z] 
=== Processing month 2025-12, files: 44 ===
[2025-12-13T06:56:07.008Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-12-01.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:56:37.867Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-12-04.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:56:43.891Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-12-03.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:57:09.466Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-12-02.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:57:17.891Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-12-05.txt {"success":false,"message":"Error: Failed query: select \"id\", \"product_line\", \"period\", \"group_number\", \"group_name\", \"status\", \"created_at\", \"updated_at\" from \"community_group\" where (\"community_group\".\"product_line\" = $1 and \"community_group\".\"group_number\" = $2 and \"community_group\".\"period\" = $3)\nparams: 深海圈,NaN,日报"}
[2025-12-13T06:57:25.419Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-12-06.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:57:50.342Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-12-07.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:57:52.136Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-12-09.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:58:05.858Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-12-08.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:58:06.023Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-12-01.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:58:27.675Z] [worker 1] 深海圈丨AI产品出海1期2群_2025-12-02.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:58:30.848Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-12-10.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:58:41.765Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-12-03.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:58:48.893Z] [worker 1] 深海圈丨AI产品出海1期2群_2025-12-04.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:59:04.034Z] [worker 2] 深海圈丨AI产品出海1期2群_2025-12-05.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:59:05.916Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-12-06.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:59:14.439Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-12-09.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:59:19.731Z] [worker 1] 深海圈丨AI产品出海1期2群_2025-12-07.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:59:23.868Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-12-10.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:59:26.995Z] [worker 2] 深海圈丨AI产品出海1期2群_2025-12-08.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:59:36.833Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-12-09.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:59:51.718Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-12-10.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T06:59:57.152Z] [worker 3] 深海圈丨AI产品出海2期1群_2025-12-10.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:00:13.172Z] [worker 1] 深海圈丨AI产品出海2期1群_2025-12-09.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:00:35.642Z] [worker 2] 深海圈丨AI产品出海2期1群_2025-12-01.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:00:37.005Z] [worker 1] 深海圈丨AI产品出海2期1群_2025-12-03.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:00:47.298Z] [worker 3] 深海圈丨AI产品出海2期1群_2025-12-02.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:01:20.689Z] [worker 1] 深海圈丨AI产品出海2期1群_2025-12-05.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:01:49.889Z] [worker 2] 深海圈丨AI产品出海2期1群_2025-12-04.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:01:58.463Z] [worker 1] 深海圈丨AI产品出海2期1群_2025-12-07.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:02:04.115Z] [worker 3] 深海圈丨AI产品出海2期1群_2025-12-06.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:02:12.450Z] [worker 2] 深海圈丨AI产品出海2期1群_2025-12-08.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:02:31.915Z] [worker 1] 深海圈丨AI产品出海2期1群_2025-12-09.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:02:40.039Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-12-01.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:03:03.077Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-12-03.txt {"success":true,"message":"Report imported successfully (LLM)"}
